Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,22.500000,23.530001,22.379999,23.459999,23.324026,151676600
2023-03-06,23.760000,24.480000,23.500000,23.559999,23.423447,151849900
2023-03-07,23.559999,23.780001,22.520000,22.680000,22.548548,176331500
2023-03-08,22.750000,23.139999,22.330000,22.990000,22.856750,145492800
2023-03-09,23.110001,23.709999,21.590000,21.780001,21.653765,196833700
2023-03-10,21.820000,22.160000,20.620001,20.879999,20.758980,314857600
2023-03-13,20.469999,22.150000,20.129999,21.330000,21.206371,329540700
2023-03-14,22.120001,22.910000,21.920000,22.780001,22.647968,217162900
2023-03-15,22.170000,23.219999,21.830000,23.110001,22.976055,274559400
2023-03-16,22.879999,25.030001,22.719999,24.940001,24.795450,228357100
2023-03-17,24.930000,25.510000,24.100000,24.570000,24.427593,201770300
2023-03-20,24.430000,24.920000,23.889999,24.830000,24.686087,164178000
2023-03-21,25.309999,26.000000,24.930000,25.879999,25.730000,135145100
2023-03-22,25.709999,26.959999,24.650000,24.680000,24.680000,237918100
2023-03-23,25.600000,26.610001,24.879999,25.559999,25.559999,196497200
2023-03-24,25.440001,25.840000,24.840000,25.820000,25.820000,169415100
2023-03-27,25.990000,26.260000,25.059999,25.290001,25.290001,136795600
2023-03-28,25.139999,25.139999,24.290001,24.870001,24.870001,118020700
2023-03-29,25.760000,26.370001,25.570000,26.230000,26.230000,119365300
2023-03-30,26.820000,27.090000,26.490000,26.940001,26.940001,130150000
2023-03-31,27.000000,28.320000,26.910000,28.260000,28.260000,127022100
2023-04-03,27.680000,28.120001,27.330000,28.059999,28.059999,125116300
2023-04-04,28.160000,28.430000,27.420000,27.780001,27.780001,116090400
2023-04-05,27.469999,27.520000,26.410000,26.889999,26.889999,129137000
2023-04-06,26.459999,27.559999,26.110001,27.430000,27.430000,120960300
2023-04-10,26.639999,27.379999,26.170000,27.370001,27.370001,118528800
2023-04-11,27.360001,27.370001,26.700001,26.840000,26.840000,104260800
2023-04-12,27.340000,27.490000,26.000000,26.129999,26.129999,174019300
2023-04-13,26.530001,27.740000,26.490000,27.629999,27.629999,123761500
2023-04-14,27.209999,27.930000,26.700001,27.469999,27.469999,142666100
2023-04-17,27.350000,27.620001,26.809999,27.500000,27.500000,114308900
2023-04-18,28.070000,28.180000,27.200001,27.520000,27.520000,106414900
2023-04-19,26.870001,27.740000,26.840000,27.459999,27.459999,95925300
2023-04-20,26.670000,27.580000,26.469999,26.820000,26.820000,136847600
2023-04-21,26.700001,27.090000,26.250000,26.870001,26.870001,114444000
2023-04-24,26.809999,27.170000,26.139999,26.709999,26.709999,107645400
2023-04-25,26.280001,26.450001,25.170000,25.200001,25.200001,138288000
2023-04-26,26.020000,26.389999,25.510000,25.620001,25.620001,124862300
2023-04-27,26.559999,27.830000,26.389999,27.690001,27.690001,127815600
2023-04-28,27.639999,28.280001,27.330000,28.250000,28.250000,130536100
2023-05-01,28.139999,28.530001,27.870001,28.170000,28.170000,89001300
2023-05-02,28.139999,28.219999,26.959999,27.420000,27.420000,124656000
2023-05-03,27.500000,28.200001,26.830000,26.879999,26.879999,170133800
2023-05-04,26.780001,27.080000,26.280001,26.580000,26.580000,121310800
2023-05-05,27.120001,28.459999,27.030001,28.209999,28.209999,97627100
2023-05-08,28.100000,28.540001,27.820000,28.440001,28.440001,75738500
2023-05-09,27.990000,28.219999,27.809999,27.889999,27.889999,64840700
2023-05-10,28.520000,29.020000,27.870001,28.790001,28.790001,151551000
2023-05-11,28.910000,29.190001,28.490000,29.030001,29.030001,97341500
2023-05-12,29.180000,29.299999,28.170000,28.730000,28.730000,105114100
2023-05-15,28.850000,29.250000,28.430000,29.170000,29.170000,86467600
2023-05-16,28.980000,29.740000,28.959999,29.280001,29.280001,79663500
2023-05-17,29.549999,30.480000,29.230000,30.330000,30.330000,101104600
2023-05-18,30.400000,32.040001,30.400000,31.959999,31.959999,135933800
2023-05-19,32.029999,32.240002,31.450001,31.740000,31.740000,98804300
